genus_species,predicted_count
Pieris rapae,17701.82054841882
Hylephila phyleus,6466.992406816716
Pyrgus communis,5735.674293554637
Junonia coenia,5205.183191015799
Battus philenor,5011.384650885751
Brephidium exile,4035.7720539032507
Colias eurytheme,3966.251603637016
Vanessa cardui,2203.488985754895
Atalopedes campestris,2166.554077403469
Coenonympha tullia california,1991.1458744479924
Ochlodes sylvanoides,1374.340964950081
Plebejus acmon,1343.5539027256984
Strymon melinus,1250.0841511547649
Everes comyntas,1216.626461609165
Papilio rutulus,1098.7240086218935
Phyciodes mylitta,932.2944789493237
Erynnis tristis,877.1581698609466
Lycaena helloides,689.4259910743482
Glaucopsyche lygdamus,616.2287319357592
Pyrgus scriptura,579.0908970510161
Adelpha bredowii californica,544.3538047181214
Polites sabuleti sabuleti,470.4778081881502
Limenitis lorquini,447.30184633676964
Celastrina ladon echo,420.64186339526583
Nymphalis californica,417.84333352067887
Lerodea eufala,412.60559268225785
Vanessa annabella,341.1571516992307
Papilio zelicaon,339.142818899781
Ochlodes agricola,309.59361670658956
Danaus plexippus,292.7061614825307
Nymphalis antiopa,291.2414513412249
Anthocharis sara sara,287.1751005315754
Poanes melane,248.1234071509318
Euphydryas chalcedona,224.10639447462435
Vanessa atalanta,214.55589243110362
Papilio eurymedon,203.42170429791844
Satyrium californica,149.4007119807581
Satyrium sylvinus,113.66774494252006
Erynnis propertius,109.39784312498334
Pholisora catullus,107.77948548046332
Chlosyne palla,94.76554316152748
Lycaena xanthoides,71.08457865848742
Agraulis vanillae,70.09293232585509
Pieris napi,30.30345128883973
Pontia protodice,18.014648965331467
Ochlodes yuma,3.8544276113703324
Euchloe ausonides,3.8544276113703324
Satyrium saepium,3.8544276113703324
Papilio multicaudatus,3.8544276113703324
Vanessa virginiensis,3.8544276113703324
Satyrium auretorum,3.8544276113703324
Callophrys dumetorum,3.8544276113703324
Atlides halesus,2.999583199771024
Incisalia augustinus iroides,1.6955593423720865
Erynnis persius,0.6192502401616717
Anthocharis sara thoosa,-0.7632309970624621
Cercyonis oetus,-0.7632309970624621
Apodemia mormo,-0.7632309970624621
Anthocharis stella,-0.7632309970624621
Amblyscirtes vialis,-0.7632309970624621
Anthocharis lanceolata,-0.7632309970624621
Chlosyne hoffmanni,-0.7632309970624621
Chlosyne lacinia,-0.7632309970624621
Boloria epithore,-0.7632309970624621
Callophrys sheridanii lemberti,-0.7632309970624621
Carterocephalus palaemon,-0.7632309970624621
Colias alexandra,-0.7632309970624621
Papilio indra,-0.7632309970624621
Erynnis icelus,-0.7632309970624621
Erynnis brizo lacustra,-0.7632309970624621
Erynnis funeralis,-0.7632309970624621
Danaus gilippus,-0.7632309970624621
Colias philodice (eriphyle),-0.7632309970624621
Coenonympha tullia ampelos,-0.7632309970624621
Epargyreus clarus,-0.7632309970624621
Cercyonis sthenele silvestris,-0.7632309970624621
Cercyonis pegala boopis,-0.7632309970624621
Hesperia colorado harpalus,-0.7632309970624621
Hemiargus isola,-0.7632309970624621
Hesperia juba,-0.7632309970624621
Hesperia colorado ssp.,-0.7632309970624621
Hesperia colorado tildeni,-0.7632309970624621
Hesperia columbia,-0.7632309970624621
Incisalia mossii,-0.7632309970624621
Incisalia eryphon,-0.7632309970624621
Hesperia lindseyi,-0.7632309970624621
Hesperia nevada,-0.7632309970624621
Hesperia colorado idaho,-0.7632309970624621
Heliopetes ericetorum,-0.7632309970624621
Euphilotes enoptes,-0.7632309970624621
Habrodais grunus,-0.7632309970624621
Glaucopsyche piasus,-0.7632309970624621
Everes amyntula,-0.7632309970624621
Euchloe hyantis lotta,-0.7632309970624621
Euphilotes battoides,-0.7632309970624621
Euphydryas editha,-0.7632309970624621
Euchloe hyantis hyantis,-0.7632309970624621
Euchloe hyantis foothill,-0.7632309970624621
Erynnis pacuvius,-0.7632309970624621
Speyeria callippe ssp.,-0.7632309970624621
Oeneis chryxus ivallda,-0.7632309970624621
Nymphalis milberti,-0.7632309970624621
Mitoura gryneus chalcosiva,-0.7632309970624621
Mitoura johnsoni,-0.7632309970624621
Mitoura spinetorum,-0.7632309970624621
Nathalis iole,-0.7632309970624621
Neophasia menapia,-0.7632309970624621
Mitoura gryneus nelsoni,-0.7632309970624621
Lycaena cupreus,-0.7632309970624621
Lycaena editha,-0.7632309970624621
Lycaena gorgon,-0.7632309970624621
Lycaena heteronea,-0.7632309970624621
Lycaena mariposa,-0.7632309970624621
Lycaena nivalis,-0.7632309970624621
Lycaena rubidus,-0.7632309970624621
Lycaeides hybrid,-0.7632309970624621
Lycaena arota arota,-0.7632309970624621
Lycaeides melissa melissa,-0.7632309970624621
Lycaeides idas anna,-0.7632309970624621
Leptotes marina,-0.7632309970624621
Lycaena arota virginiensis,-0.7632309970624621
Plebejus saepiolus,-0.7632309970624621
Phyciodes campestris inornatus,-0.7632309970624621
Polites sabuleti ssp.,-0.7632309970624621
Phyciodes orseis herlani,-0.7632309970624621
Phyciodes campestris montana,-0.7632309970624621
Phyciodes campestris campestris/montana,-0.7632309970624621
Phoebis sennae,-0.7632309970624621
Philotes sonorensis,-0.7632309970624621
Parnassius phoebus behrii,-0.7632309970624621
Parnassius clodius,-0.7632309970624621
Thessalia leanira,-0.7632309970624621
Pontia occidentalis,-0.7632309970624621
Polygonia zephyrus,-0.7632309970624621
Pontia beckerii,-0.7632309970624621
Polites sonora,-0.7632309970624621
Polygonia faunus,-0.7632309970624621
Polites sabuleti tecumseh,-0.7632309970624621
Polygonia satyrus,-0.7632309970624621
Plebejus icarioides,-0.7632309970624621
Plebejus shasta,-0.7632309970624621
Plebejus lupini,-0.7632309970624621
Satyrium fuliginosum semiluna,-0.7632309970624621
Satyrium fuliginosum fuliginosum,-0.7632309970624621
Satyrium behrii,-0.7632309970624621
Pyrgus ruralis,-0.7632309970624621
Pontia sisymbrii,-0.7632309970624621
Thorybes pylades,-0.7632309970624621
Speyeria callippe nevadensis,-0.7632309970624621
