species,trend_slope
Adelpha bredowii californica,0.0023928140427985404
Agraulis vanillae,0.03838767385400838
Agriades podarce,0.0
Amblyscirtes vialis,0.0
Anthocharis lanceolata,0.0
Anthocharis sara sara,-0.031369858177176205
Anthocharis sara thoosa,0.0
Anthocharis stella,0.0
Apodemia mormo,0.0
Atalopedes campestris,-0.06876395728457352
Atlides halesus,0.00035964684275289956
Battus philenor,-0.2714113406000507
Boloria epithore,0.0
Brephidium exile,-3.9190262825035935
Callophrys dumetorum,0.0004522923776427179
Callophrys sheridanii lemberti,0.0
Carterocephalus palaemon,0.0
Celastrina ladon echo,-0.015143723702989373
Cercyonis oetus,0.0
Cercyonis pegala boopis,0.0019846076086062997
Cercyonis sthenele silvestris,0.0
Chlosyne hoffmanni,0.0
Chlosyne lacinia,0.0
Chlosyne palla,-0.012089371111742029
Coenonympha tullia ampelos,0.0
Coenonympha tullia california,-0.031231239570045546
Colias alexandra,0.0
Colias eurytheme,-0.16938483364280507
Colias philodice (eriphyle),0.0
Danaus gilippus,0.0
Danaus plexippus,-0.02152672138792666
Epargyreus clarus,0.0001442938197847034
Erynnis brizo lacustra,0.0
Erynnis funeralis,-0.00011091393078970715
Erynnis icelus,0.0
Erynnis pacuvius,0.0
Erynnis persius,-0.0005272368324628264
Erynnis propertius,-0.012574912598565828
Erynnis tristis,0.09394498491078945
Euchloe ausonides,-0.014802063788195775
Euchloe hyantis foothill,0.0
Euchloe hyantis hyantis,-4.705439488048183e-05
Euchloe hyantis lotta,0.0
Euphilotes battoides,0.0
Euphilotes enoptes,0.0
Euphydryas chalcedona,-0.027993938356002713
Euphydryas editha,0.0
Everes amyntula,0.0
Everes comyntas,0.0674126014157619
Glaucopsyche lygdamus,-0.06560042377904865
Glaucopsyche piasus,0.0
Habrodais grunus,-4.0615372423152704e-05
Heliopetes ericetorum,0.00032673637057235584
Hemiargus isola,0.0
Hesperia colorado harpalus,0.0
Hesperia colorado idaho,0.0
Hesperia colorado ssp.,0.0
Hesperia colorado tildeni,0.0
Hesperia columbia,-0.0002332348621185769
Hesperia juba,0.0
Hesperia lindseyi,0.0
